1,NSYNC,1,29/07/2000,It's Gonna Be Me,pop,no,https://www.youtube.com/watch?v=GQMlWwIXg3M
2,112,4,07/07/2001,Peaches And Cream,pop,no,https://www.youtube.com/watch?v=wl2NCXzg1FQ
3,2gether,87,09/09/2000,The Hardest Part of Breaking Up,pop,no,https://www.youtube.com/watch?v=HJ89lMXLJGA
4,5 Seconds of Summer,16,19/07/2014,Amnesia,slow,no,https://www.youtube.com/watch?v=DCCJCILiX3o
5,5ive,10,01/08/1998,When The Lights Go Out,pop,no,https://www.youtube.com/watch?v=mpdcKmaHk_s
6,98 Degrees,2,30/09/2000,Give me Just One Night,pop,no,https://www.youtube.com/watch?v=PYb2IdrN-ns
7,All-4-One,1,21/05/1994,I Swear,slow,no,https://www.youtube.com/watch?v=25rL-ooWICU
8,Aventura,97,17/12/2005,Ella Y Yo,pop,yes,https://www.youtube.com/watch?v=EZodgl2JiDA
9,Az Yet,8,03/05/1997,Hard to Say I'm Sorry (ft. Peter Cetera),slow,yes,https://www.youtube.com/watch?v=qpzPrSRQwTw
10,B2K,1,01/02/2003,"Bump, Bump, Bump (ft. P. Diddy)",pop,yes,https://www.youtube.com/watch?v=CgiX53hjAPc
11,Backstreet Boys,2,06/09/1997,Quit Playing Games with my Heart,pop,no,https://www.youtube.com/watch?v=Ug88HO2mg44
12,BBMak,13,29/07/2000,Back Here,slow,no,https://www.youtube.com/watch?v=l95MMbls0GQ
13,Bell Biv DeVoe,3,09/06/1990,Poison,pop,no,https://www.youtube.com/watch?time_continue=27&v=sb2np1HGqxg
14,Big Time Rush,72,07/05/2011,Boyfriend (ft. Snoop Dogg),pop,yes,https://www.youtube.com/watch?v=jUOdO5dqPeU
15,Blackstreet,1,09/11/1996,No Diggity (ft. Dr. Dre),pop,yes,https://www.youtube.com/watch?v=3KL9mRus19o
16,Boyz II Men,1,15/08/1992,End of the Road,slow,no,https://www.youtube.com/watch?v=zDKO6XYXioc
17,Brother Beyond,27,25/08/1990,The Girl I Used to Know,pop,no,https://www.youtube.com/watch?v=pS-E_lPE668
18,BTS,67,14/10/2017,DNA,pop,no,https://www.youtube.com/watch?v=MBdVXkSdhwU
19,Color Me Badd,1,21/09/1991,I Adore Mi Amor,slow,no,https://www.youtube.com/watch?v=92NdfSeOLA0
20,Day26,79,12/04/2008,Got Me Going,pop,no,https://www.youtube.com/watch?v=jiQaSw2H_LA
21,Guys Next Door,42,23/02/1991,I've Been Waiting For You,slow,no,https://www.youtube.com/watch?v=bSArFJxfCeU
22,Hanson,1,24/05/1997,MMMBop,pop,no,https://www.youtube.com/watch?v=NHozn0YXAeE
23,Hi-Five,1,18/05/1991,I Like The Way,pop,no,https://www.youtube.com/watch?v=vF3MB0U6DO8
24,Ideal,13,20/11/1999,Get Gone,slow,no,https://www.youtube.com/watch?v=MPCsH6XiZ_I
25,Immature,5,15/10/1994,Never Lie,slow,no,https://www.youtube.com/watch?v=LV8PZ8kcCr8
26,IMx,23,08/01/2000,Stay The Night,pop,no,https://www.youtube.com/watch?v=t3s-Vp-Qv5Q
27,Jagged Edge,3,15/09/2001,Where The Party At,pop,yes,https://www.youtube.com/watch?v=9UCY_U4QwqI
28,Jodeci,4,28/08/1993,Lately,slow,no,https://www.youtube.com/watch?v=V2ddj5uKbpY
29,Jonas Brothers,5,12/07/2008,Burnin' Up,pop,no,https://www.youtube.com/watch?v=5KNEZJ6KkLI
30,LFO,3,28/08/1999,Summer Girls,pop,no,https://www.youtube.com/watch?v=NHuGG_FsC20
31,Menudo,62,15/06/1985,Hold Me,pop,no,https://www.youtube.com/watch?v=PHRjWauwpvE
32,Mindless Behavior,72,05/11/2011,Mrs. Right,pop,yes,https://www.youtube.com/watch?v=_cuoL8lwaPs
33,Musical Youth,10,26/02/1983,Pass the Dutchie,pop,no,https://www.youtube.com/watch?v=dFtLONl4cNc
34,New Edition,3,31/08/1996,Hit Me Off,pop,no,https://www.youtube.com/watch?v=fE77mos-ppo
35,New Kids On The Block,1,17/06/1989,I'll Be Loving You (Forever),slow,no,https://www.youtube.com/watch?v=ZT_7UjCVELg
36,Nine Days,6,22/07/2000,Absolutely (Story of a Girl),pop,no,https://www.youtube.com/watch?v=ZIANBamMgas
37,No Mercy,5,12/10/1996,Where Do You Go,pop,no,https://www.youtube.com/watch?v=Yt-KMPvgKPo
38,Nu Flavor,27,31/01/1998,Heaven,slow,no,https://www.youtube.com/watch?v=9yhHF9_RdJg
39,O-Town,3,28/07/2001,All or Nothing,slow,no,https://www.youtube.com/watch?v=TG8IkUoZ6j0
40,One Direction,2,10/08/2013,Best Song Ever,pop,no,https://www.youtube.com/watch?v=o_v9MY_FMcw
41,Perfect Gentlemen,10,02/06/1990,Ooh La La,slow,no,https://www.youtube.com/watch?v=OAddModv-Kg
42,Playa,38,06/06/1998,Cheers 2 U,slow,no,https://www.youtube.com/watch?v=0yvSkYpVZ_I
43,Shai,2,21/11/1992,If I Ever Fall in Love,slow,no,https://www.youtube.com/watch?v=caNRc1ER8p4
44,SILK,1,01/05/1993,Freak Me,slow,no,https://www.youtube.com/watch?v=Ry6XUsow4Vg
45,Son by Four,26,19/08/2000,Purest of Pain (A Puro Dolor),pop,no,https://www.youtube.com/watch?v=YUGUySygZuU
46,Soul for Real,2,18/03/1995,Candy Rain,pop,no,https://www.youtube.com/watch?v=Cx0xzO73Amo
47,soulDecision,22,09/09/2000,Faded,pop,yes,https://www.youtube.com/watch?v=4-SoWeHYH5Q
48,Take That,7,11/11/1995,Back for Good,slow,no,https://www.youtube.com/watch?v=N2ICtCO8TCw
49,The Boys,13,25/02/1989,Dial My Heart,pop,no,https://www.youtube.com/watch?v=5ZOTtZPr5Ew
50,The Click Five,11,03/09/2005,Just The Girl,pop,no,https://www.youtube.com/watch?v=uQBu5whSgC4
51,The Wanted,3,31/03/2012,Glad You Came,pop,no,https://www.youtube.com/watch?v=2ggzxInyzVE
52,Troop,47,18/08/1990,All I Do Is Think Of You,slow,no,https://www.youtube.com/watch?v=igS9Yv06S3o
53,U.N.V.,2,31/07/1993,Something's Goin' On,slow,no,https://www.youtube.com/watch?v=LKYYTIwW7cg
54,Westlife,20,01/07/2000,Swear it Again,slow,no,https://www.youtube.com/watch?v=0UaMsIJ4bR0
55,Youngstown,71,21/08/1999,I'll Be Your Everything,pop,no,https://www.youtube.com/watch?v=NprJcyoySFk
